id,student_id,genre,vocabulary_and_language_complexity,sentence_structure,themes_and_content,overall,question_difficulty,question_type,correct_answer,answer_by_student,exam_hour,attention_level,student_age,student_grade,time_bound,correctness_ratio_by_student
9,40,5,Moderate,Moderate,Moderate,Moderate,2,1,D,B,3,8,10,5,in_time_bound,0.4
6,44,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,3,8,7,3,in_time_bound,0.609756098
16,53,5,Moderate,Moderate,Moderate,Moderate,2,1,D,C,16,8,10,5,in_time_bound,0.317460317
17,54,5,Moderate,Moderate,Moderate,Moderate,2,1,D,C,16,8,10,5,in_time_bound,0.333333333
18,55,5,Moderate,Moderate,Moderate,Moderate,2,1,D,B,16,8,10,5,in_time_bound,0.504132231
19,56,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,16,8,10,5,in_time_bound,0.342592593
21,57,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,10,5,in_time_bound,0.222222222
22,58,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,14,2,10,5,in_time_bound,0.66
24,59,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,14,2,9,4,in_time_bound,0.588235294
28,60,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,16,8,9,4,in_time_bound,0.48
1,61,5,Moderate,Moderate,Moderate,Moderate,2,1,D,C,3,8,10,5,in_time_bound,0.475
14,62,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,16,8,10,5,in_time_bound,0.619047619
15,63,5,Moderate,Moderate,Moderate,Moderate,2,1,D,C,16,8,10,5,in_time_bound,0.26984127
55,1,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,14,2,10,5,in_time_bound,0.549883991
64,1,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,9,4,in_time_bound,0.549883991
44,1,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,8,3,in_time_bound,0.549883991
59,7,5,Moderate,Moderate,Moderate,Moderate,3,2,D,A,16,8,9,4,in_time_bound,0.349206349
52,11,5,Moderate,Moderate,Moderate,Moderate,3,2,D,C,16,8,10,5,in_time_bound,0.552763819
63,12,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,9,4,in_time_bound,0.557291667
62,15,5,Moderate,Moderate,Moderate,Moderate,3,2,D,C,16,8,9,4,in_time_bound,0.571658615
45,16,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,10,5,in_time_bound,0.438461538
58,17,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,10,5,in_time_bound,0.608264463
42,19,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,10,5,in_time_bound,0.318181818
61,20,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,9,4,in_time_bound,0.498896247
57,22,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,9,4,in_time_bound,0.604774536
43,25,5,Moderate,Moderate,Moderate,Moderate,3,2,D,B,16,8,10,5,in_time_bound,0.573426573
35,34,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,3,8,10,5,in_time_bound,0.598802395
36,35,5,Moderate,Moderate,Moderate,Moderate,3,2,D,A,3,8,10,5,in_time_bound,0.26
34,36,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,3,8,10,5,in_time_bound,0.35
37,37,5,Moderate,Moderate,Moderate,Moderate,3,2,D,B,3,8,10,5,in_time_bound,0.46
39,38,5,Moderate,Moderate,Moderate,Moderate,3,2,D,B,3,8,10,5,in_time_bound,0.28
40,39,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,3,8,10,5,in_time_bound,0.383333333
41,40,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,3,8,10,5,in_time_bound,0.4
38,44,5,Moderate,Moderate,Moderate,Moderate,3,2,D,B,3,8,7,3,in_time_bound,0.609756098
48,53,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,10,5,in_time_bound,0.317460317
49,54,5,Moderate,Moderate,Moderate,Moderate,3,2,D,A,16,8,10,5,in_time_bound,0.333333333
50,55,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,10,5,in_time_bound,0.504132231
51,56,5,Moderate,Moderate,Moderate,Moderate,3,2,D,A,16,8,10,5,in_time_bound,0.342592593
53,57,5,Moderate,Moderate,Moderate,Moderate,3,2,D,B,16,8,10,5,in_time_bound,0.222222222
54,58,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,14,2,10,5,in_time_bound,0.66
56,59,5,Moderate,Moderate,Moderate,Moderate,3,2,D,A,14,2,9,4,in_time_bound,0.588235294
60,60,5,Moderate,Moderate,Moderate,Moderate,3,2,D,A,16,8,9,4,in_time_bound,0.48
33,61,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,3,8,10,5,in_time_bound,0.475
46,62,5,Moderate,Moderate,Moderate,Moderate,3,2,D,D,16,8,10,5,in_time_bound,0.619047619
47,63,5,Moderate,Moderate,Moderate,Moderate,3,2,D,A,16,8,10,5,in_time_bound,0.26984127
96,1,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,9,4,in_time_bound,0.549883991
76,1,5,Moderate,Moderate,Moderate,Moderate,4,0,B,NotAttended,16,8,8,3,in_time_bound,0.549883991
87,1,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,14,2,10,5,in_time_bound,0.549883991
91,7,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,9,4,in_time_bound,0.349206349
84,11,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.552763819
95,12,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,9,4,in_time_bound,0.557291667
94,15,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,9,4,in_time_bound,0.571658615
77,16,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.438461538
90,17,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.608264463
74,19,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.318181818
93,20,5,Moderate,Moderate,Moderate,Moderate,4,0,B,A,16,8,9,4,in_time_bound,0.498896247
89,22,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,9,4,in_time_bound,0.604774536
75,25,5,Moderate,Moderate,Moderate,Moderate,4,0,B,NotAttended,16,8,10,5,in_time_bound,0.573426573
67,34,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,3,8,10,5,in_time_bound,0.598802395
68,35,5,Moderate,Moderate,Moderate,Moderate,4,0,B,A,3,8,10,5,in_time_bound,0.26
66,36,5,Moderate,Moderate,Moderate,Moderate,4,0,B,A,3,8,10,5,in_time_bound,0.35
69,37,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,3,8,10,5,in_time_bound,0.46
71,38,5,Moderate,Moderate,Moderate,Moderate,4,0,B,A,3,8,10,5,in_time_bound,0.28
72,39,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,3,8,10,5,in_time_bound,0.383333333
73,40,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,3,8,10,5,in_time_bound,0.4
70,44,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,3,8,7,3,in_time_bound,0.609756098
80,53,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.317460317
81,54,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.333333333
82,55,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.504132231
83,56,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.342592593
85,57,5,Moderate,Moderate,Moderate,Moderate,4,0,B,C,16,8,10,5,in_time_bound,0.222222222
86,58,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,14,2,10,5,in_time_bound,0.66
88,59,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,14,2,9,4,in_time_bound,0.588235294
92,60,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,9,4,in_time_bound,0.48
65,61,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,3,8,10,5,in_time_bound,0.475
78,62,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.619047619
79,63,5,Moderate,Moderate,Moderate,Moderate,4,0,B,B,16,8,10,5,in_time_bound,0.26984127
119,1,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,14,2,10,5,in_time_bound,0.549883991
128,1,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,9,4,in_time_bound,0.549883991
108,1,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,8,3,in_time_bound,0.549883991
123,7,5,Moderate,Moderate,Moderate,Moderate,2,2,D,A,16,8,9,4,in_time_bound,0.349206349
116,11,5,Moderate,Moderate,Moderate,Moderate,2,2,D,D,16,8,10,5,in_time_bound,0.552763819
127,12,5,Moderate,Moderate,Moderate,Moderate,2,2,D,D,16,8,9,4,in_time_bound,0.557291667
126,15,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,9,4,in_time_bound,0.571658615
109,16,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.438461538
122,17,5,Moderate,Moderate,Moderate,Moderate,2,2,D,D,16,8,10,5,in_time_bound,0.608264463
106,19,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.318181818
125,20,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,9,4,in_time_bound,0.498896247
121,22,5,Moderate,Moderate,Moderate,Moderate,2,2,D,D,16,8,9,4,in_time_bound,0.604774536
107,25,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.573426573
99,34,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,3,8,10,5,in_time_bound,0.598802395
100,35,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,3,8,10,5,in_time_bound,0.26
98,36,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,3,8,10,5,in_time_bound,0.35
101,37,5,Moderate,Moderate,Moderate,Moderate,2,2,D,D,3,8,10,5,in_time_bound,0.46
103,38,5,Moderate,Moderate,Moderate,Moderate,2,2,D,A,3,8,10,5,in_time_bound,0.28
104,39,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,3,8,10,5,in_time_bound,0.383333333
105,40,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,3,8,10,5,in_time_bound,0.4
102,44,5,Moderate,Moderate,Moderate,Moderate,2,2,D,D,3,8,7,3,in_time_bound,0.609756098
112,53,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.317460317
113,54,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.333333333
114,55,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.504132231
115,56,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.342592593
117,57,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.222222222
118,58,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,14,2,10,5,in_time_bound,0.66
120,59,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,14,2,9,4,in_time_bound,0.588235294
124,60,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,9,4,in_time_bound,0.48
97,61,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,3,8,10,5,in_time_bound,0.475
110,62,5,Moderate,Moderate,Moderate,Moderate,2,2,D,C,16,8,10,5,in_time_bound,0.619047619
111,63,5,Moderate,Moderate,Moderate,Moderate,2,2,D,A,16,8,10,5,in_time_bound,0.26984127
151,1,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,14,2,10,5,in_time_bound,0.549883991
160,1,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.549883991
140,1,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,8,3,in_time_bound,0.549883991
155,7,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.349206349
148,11,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.552763819
159,12,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.557291667
158,15,5,Moderate,Moderate,Moderate,Moderate,3,2,B,C,16,8,9,4,in_time_bound,0.571658615
141,16,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.438461538
154,17,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.608264463
138,19,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,16,8,10,5,in_time_bound,0.318181818
157,20,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,9,4,in_time_bound,0.498896247
153,22,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.604774536
139,25,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.573426573
131,34,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,3,8,10,5,in_time_bound,0.598802395
132,35,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.26
130,36,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.35
133,37,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.46
135,38,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,3,8,10,5,in_time_bound,0.28
136,39,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.383333333
137,40,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.4
134,44,5,Moderate,Moderate,Moderate,Moderate,3,2,B,C,3,8,7,3,in_time_bound,0.609756098
144,53,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.317460317
145,54,5,Moderate,Moderate,Moderate,Moderate,3,2,B,C,16,8,10,5,in_time_bound,0.333333333
146,55,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.504132231
147,56,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.342592593
149,57,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,16,8,10,5,in_time_bound,0.222222222
150,58,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,14,2,10,5,in_time_bound,0.66
152,59,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,14,2,9,4,in_time_bound,0.588235294
156,60,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.48
129,61,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.475
142,62,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.619047619
143,63,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.26984127
183,1,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,14,2,10,5,in_time_bound,0.549883991
192,1,5,Moderate,Moderate,Moderate,Moderate,4,2,B,A,16,8,9,4,in_time_bound,0.549883991
172,1,5,Moderate,Moderate,Moderate,Moderate,4,2,B,D,16,8,8,3,in_time_bound,0.549883991
187,7,5,Moderate,Moderate,Moderate,Moderate,4,2,B,A,16,8,9,4,in_time_bound,0.349206349
180,11,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,16,8,10,5,in_time_bound,0.552763819
191,12,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,16,8,9,4,in_time_bound,0.557291667
190,15,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,16,8,9,4,in_time_bound,0.571658615
173,16,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,16,8,10,5,in_time_bound,0.438461538
186,17,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,16,8,10,5,in_time_bound,0.608264463
170,19,5,Moderate,Moderate,Moderate,Moderate,4,2,B,A,16,8,10,5,in_time_bound,0.318181818
189,20,5,Moderate,Moderate,Moderate,Moderate,4,2,B,D,16,8,9,4,in_time_bound,0.498896247
185,22,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,16,8,9,4,in_time_bound,0.604774536
171,25,5,Moderate,Moderate,Moderate,Moderate,4,2,B,A,16,8,10,5,in_time_bound,0.573426573
163,34,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,3,8,10,5,in_time_bound,0.598802395
164,35,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,3,8,10,5,in_time_bound,0.26
162,36,5,Moderate,Moderate,Moderate,Moderate,4,2,B,D,3,8,10,5,in_time_bound,0.35
165,37,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,3,8,10,5,in_time_bound,0.46
167,38,5,Moderate,Moderate,Moderate,Moderate,4,2,B,A,3,8,10,5,in_time_bound,0.28
168,39,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,3,8,10,5,in_time_bound,0.383333333
169,40,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,3,8,10,5,in_time_bound,0.4
166,44,5,Moderate,Moderate,Moderate,Moderate,4,2,B,D,3,8,7,3,in_time_bound,0.609756098
176,53,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,16,8,10,5,in_time_bound,0.317460317
177,54,5,Moderate,Moderate,Moderate,Moderate,4,2,B,A,16,8,10,5,in_time_bound,0.333333333
178,55,5,Moderate,Moderate,Moderate,Moderate,4,2,B,A,16,8,10,5,in_time_bound,0.504132231
179,56,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,16,8,10,5,in_time_bound,0.342592593
181,57,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,16,8,10,5,in_time_bound,0.222222222
182,58,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,14,2,10,5,in_time_bound,0.66
184,59,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,14,2,9,4,in_time_bound,0.588235294
188,60,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,16,8,9,4,in_time_bound,0.48
161,61,5,Moderate,Moderate,Moderate,Moderate,4,2,B,D,3,8,10,5,in_time_bound,0.475
174,62,5,Moderate,Moderate,Moderate,Moderate,4,2,B,C,16,8,10,5,in_time_bound,0.619047619
175,63,5,Moderate,Moderate,Moderate,Moderate,4,2,B,B,16,8,10,5,in_time_bound,0.26984127
215,1,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,14,2,10,5,in_time_bound,0.549883991
224,1,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.549883991
204,1,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,8,3,in_time_bound,0.549883991
219,7,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.349206349
212,11,5,Moderate,Moderate,Moderate,Moderate,3,2,B,C,16,8,10,5,in_time_bound,0.552763819
223,12,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.557291667
222,15,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,9,4,in_time_bound,0.571658615
205,16,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,10,5,in_time_bound,0.438461538
218,17,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.608264463
202,19,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,16,8,10,5,in_time_bound,0.318181818
221,20,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,9,4,in_time_bound,0.498896247
217,22,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.604774536
203,25,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.573426573
195,34,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,3,8,10,5,in_time_bound,0.598802395
196,35,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,3,8,10,5,in_time_bound,0.26
194,36,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,3,8,10,5,in_time_bound,0.35
197,37,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.46
199,38,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,3,8,10,5,in_time_bound,0.28
200,39,5,Moderate,Moderate,Moderate,Moderate,3,2,B,C,3,8,10,5,in_time_bound,0.383333333
201,40,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.4
198,44,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,3,8,7,3,in_time_bound,0.609756098
208,53,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,16,8,10,5,in_time_bound,0.317460317
209,54,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,10,5,in_time_bound,0.333333333
210,55,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,10,5,in_time_bound,0.504132231
211,56,5,Moderate,Moderate,Moderate,Moderate,3,2,B,C,16,8,10,5,in_time_bound,0.342592593
213,57,5,Moderate,Moderate,Moderate,Moderate,3,2,B,D,16,8,10,5,in_time_bound,0.222222222
214,58,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,14,2,10,5,in_time_bound,0.66
216,59,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,14,2,9,4,in_time_bound,0.588235294
220,60,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,9,4,in_time_bound,0.48
193,61,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,3,8,10,5,in_time_bound,0.475
206,62,5,Moderate,Moderate,Moderate,Moderate,3,2,B,B,16,8,10,5,in_time_bound,0.619047619
207,63,5,Moderate,Moderate,Moderate,Moderate,3,2,B,A,16,8,10,5,in_time_bound,0.26984127
247,1,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,14,2,10,5,in_time_bound,0.549883991
256,1,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,9,4,in_time_bound,0.549883991
236,1,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,8,3,in_time_bound,0.549883991
251,7,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,9,4,in_time_bound,0.349206349
244,11,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,16,8,10,5,in_time_bound,0.552763819
255,12,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,9,4,in_time_bound,0.557291667
254,15,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,9,4,in_time_bound,0.571658615
237,16,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,16,8,10,5,in_time_bound,0.438461538
250,17,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,10,5,in_time_bound,0.608264463
234,19,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,10,5,in_time_bound,0.318181818
253,20,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,16,8,9,4,in_time_bound,0.498896247
249,22,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,16,8,9,4,in_time_bound,0.604774536
235,25,5,Moderate,Moderate,Moderate,Moderate,4,0,A,B,16,8,10,5,in_time_bound,0.573426573
227,34,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,3,8,10,5,in_time_bound,0.598802395
228,35,5,Moderate,Moderate,Moderate,Moderate,4,0,A,C,3,8,10,5,in_time_bound,0.26
226,36,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,3,8,10,5,in_time_bound,0.35
229,37,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,3,8,10,5,in_time_bound,0.46
231,38,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,3,8,10,5,in_time_bound,0.28
232,39,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,3,8,10,5,in_time_bound,0.383333333
233,40,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,3,8,10,5,in_time_bound,0.4
230,44,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,3,8,7,3,in_time_bound,0.609756098
240,53,5,Moderate,Moderate,Moderate,Moderate,4,0,A,B,16,8,10,5,in_time_bound,0.317460317
241,54,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,16,8,10,5,in_time_bound,0.333333333
242,55,5,Moderate,Moderate,Moderate,Moderate,4,0,A,B,16,8,10,5,in_time_bound,0.504132231
243,56,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,16,8,10,5,in_time_bound,0.342592593
245,57,5,Moderate,Moderate,Moderate,Moderate,4,0,A,D,16,8,10,5,in_time_bound,0.222222222
246,58,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,14,2,10,5,in_time_bound,0.66
248,59,5,Moderate,Moderate,Moderate,Moderate,4,0,A,A,14,2,9,4,in_time_bound,0.588235294
252,60,5,Moderate,Moderate,Moderate,Moderate,4,0,A,B,16,8,9,4,in_time_bound,0.48
