id,student_id,genre,vocabulary_and_language_complexity,sentence_structure,themes_and_content,overall,question_text,question_difficulty,question_type_id,question_type,correct_answer,answer_by_student,exam_hour,attention_level,student_age,student_grade,time_bound,correctness_ratio_by_student,comparison_result
41,40,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,3,8,10,5,in_time_bound,0.4,1
38,44,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,B,3,8,7,3,in_time_bound,0.609756098,0
48,53,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,10,5,in_time_bound,0.317460317,1
49,54,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,A,16,8,10,5,in_time_bound,0.333333333,0
50,55,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,10,5,in_time_bound,0.504132231,1
51,56,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,A,16,8,10,5,in_time_bound,0.342592593,0
53,57,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,B,16,8,10,5,in_time_bound,0.222222222,0
54,58,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,14,2,10,5,in_time_bound,0.66,1
56,59,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,A,14,2,9,4,in_time_bound,0.588235294,0
60,60,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,A,16,8,9,4,in_time_bound,0.48,0
33,61,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,3,8,10,5,in_time_bound,0.475,1
46,62,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,10,5,in_time_bound,0.619047619,1
47,63,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,A,16,8,10,5,in_time_bound,0.26984127,0
96,1,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,9,4,in_time_bound,0.549883991,1
76,1,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,NotAttended,16,8,8,3,in_time_bound,0.549883991,0
87,1,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,14,2,10,5,in_time_bound,0.549883991,1
91,7,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,9,4,in_time_bound,0.349206349,1
84,11,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.552763819,1
95,12,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,9,4,in_time_bound,0.557291667,1
94,15,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,9,4,in_time_bound,0.571658615,1
77,16,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.438461538,1
90,17,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.608264463,1
74,19,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.318181818,1
93,20,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,A,16,8,9,4,in_time_bound,0.498896247,0
89,22,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,9,4,in_time_bound,0.604774536,1
75,25,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,NotAttended,16,8,10,5,in_time_bound,0.573426573,0
67,34,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,3,8,10,5,in_time_bound,0.598802395,1
68,35,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,A,3,8,10,5,in_time_bound,0.26,0
66,36,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,A,3,8,10,5,in_time_bound,0.35,0
69,37,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,3,8,10,5,in_time_bound,0.46,1
71,38,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,A,3,8,10,5,in_time_bound,0.28,0
72,39,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,3,8,10,5,in_time_bound,0.383333333,1
73,40,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,3,8,10,5,in_time_bound,0.4,1
70,44,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,3,8,7,3,in_time_bound,0.609756098,1
80,53,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.317460317,1
81,54,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.333333333,1
82,55,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.504132231,1
83,56,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.342592593,1
85,57,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,C,16,8,10,5,in_time_bound,0.222222222,0
86,58,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,14,2,10,5,in_time_bound,0.66,1
88,59,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,14,2,9,4,in_time_bound,0.588235294,1
92,60,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,9,4,in_time_bound,0.48,1
65,61,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,3,8,10,5,in_time_bound,0.475,1
78,62,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.619047619,1
79,63,5,Moderate,Moderate,Moderate,Moderate,The poet says stay in there to the bluebird. This is an example of an imperative clause. What is an imperative clause?,4,5,0,B,B,16,8,10,5,in_time_bound,0.26984127,1
119,1,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,14,2,10,5,in_time_bound,0.549883991,0
128,1,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,9,4,in_time_bound,0.549883991,0
108,1,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,8,3,in_time_bound,0.549883991,0
123,7,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,A,16,8,9,4,in_time_bound,0.349206349,0
116,11,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,D,16,8,10,5,in_time_bound,0.552763819,1
127,12,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,D,16,8,9,4,in_time_bound,0.557291667,1
126,15,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,9,4,in_time_bound,0.571658615,0
109,16,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.438461538,0
122,17,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,D,16,8,10,5,in_time_bound,0.608264463,1
106,19,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.318181818,0
125,20,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,9,4,in_time_bound,0.498896247,0
121,22,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,D,16,8,9,4,in_time_bound,0.604774536,1
107,25,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.573426573,0
99,34,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,3,8,10,5,in_time_bound,0.598802395,0
100,35,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,3,8,10,5,in_time_bound,0.26,0
98,36,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,3,8,10,5,in_time_bound,0.35,0
101,37,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,D,3,8,10,5,in_time_bound,0.46,1
103,38,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,A,3,8,10,5,in_time_bound,0.28,0
104,39,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,3,8,10,5,in_time_bound,0.383333333,0
105,40,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,3,8,10,5,in_time_bound,0.4,0
102,44,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,D,3,8,7,3,in_time_bound,0.609756098,1
112,53,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.317460317,0
113,54,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.333333333,0
114,55,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.504132231,0
115,56,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.342592593,0
117,57,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.222222222,0
118,58,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,14,2,10,5,in_time_bound,0.66,0
120,59,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,14,2,9,4,in_time_bound,0.588235294,0
124,60,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,9,4,in_time_bound,0.48,0
97,61,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,3,8,10,5,in_time_bound,0.475,0
110,62,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,C,16,8,10,5,in_time_bound,0.619047619,0
111,63,5,Moderate,Moderate,Moderate,Moderate,How does the poet stop the bluebird from getting out?,2,1,2,D,A,16,8,10,5,in_time_bound,0.26984127,0
151,1,5,Moderate,Moderate,Moderate,Moderate,Which of the following best describes how the poet treats the bluebird in stanza 1?,3,1,2,B,B,14,2,10,5,in_time_bound,0.549883991,1
160,1,5,Moderate,Moderate,Moderate,Moderate,Which of the following best describes how the poet treats the bluebird in stanza 1?,3,1,2,B,B,16,8,9,4,in_time_bound,0.549883991,1
140,1,5,Moderate,Moderate,Moderate,Moderate,Which of the following best describes how the poet treats the bluebird in stanza 1?,3,1,2,B,D,16,8,8,3,in_time_bound,0.549883991,0
155,7,5,Moderate,Moderate,Moderate,Moderate,Which of the following best describes how the poet treats the bluebird in stanza 1?,3,1,2,B,B,16,8,9,4,in_time_bound,0.349206349,1
148,11,5,Moderate,Moderate,Moderate,Moderate,Which of the following best describes how the poet treats the bluebird in stanza 1?,3,1,2,B,B,16,8,10,5,in_time_bound,0.552763819,1
159,12,5,Moderate,Moderate,Moderate,Moderate,Which of the following best describes how the poet treats the bluebird in stanza 1?,3,1,2,B,B,16,8,9,4,in_time_bound,0.557291667,1
158,15,5,Moderate,Moderate,Moderate,Moderate,Which of the following best describes how the poet treats the bluebird in stanza 1?,3,1,2,B,C,16,8,9,4,in_time_bound,0.571658615,0
