Id,Source,PassageName,Grade,VocabularyAndLanguageComplexity,SentenceStructure,ThemesAndContent,Overall
156,worksheet,oliver twist -master,6,Moderate,Moderate,Moderate,Moderate
157,worksheet,oliver twist -room,3,Difficult,Difficult,Challenging,Difficult
158,worksheet,oliver twist -room,4,Challenging,Challenging,Moderate,Challenging
159,worksheet,oliver twist -room,5,Moderate,Moderate,Moderate,Moderate
160,worksheet,oliver twist -room,6,Moderate,Moderate,Easy,Moderate
161,worksheet,patagonia,3,Difficult,Difficult,Challenging,Difficult
162,worksheet,patagonia,4,Challenging,Challenging,Moderate,Challenging
163,worksheet,patagonia,5,Moderate,Moderate,Moderate,Moderate
164,worksheet,patagonia,6,Moderate,Moderate,Easy,Moderate
165,worksheet,peter,3,Challenging,Challenging,Moderate,Challenging
166,worksheet,peter,4,Moderate,Moderate,Moderate,Moderate
167,worksheet,peter,5,Moderate,Moderate,Easy,Moderate
168,worksheet,peter,6,Easy,Moderate,Easy,Moderate
169,worksheet,POLLYANNA,3,Difficult,Difficult,Moderate,Difficult
170,worksheet,POLLYANNA,4,Challenging,Challenging,Moderate,Challenging
171,worksheet,POLLYANNA,5,Moderate,Moderate,Easy,Moderate
172,worksheet,POLLYANNA,6,Moderate,Easy,Easy,Easy
173,worksheet,rebecca,3,Difficult,Difficult,Moderate,Difficult
174,worksheet,rebecca,4,Challenging,Challenging,Moderate,Challenging
175,worksheet,rebecca,5,Moderate,Moderate,Moderate,Moderate
176,worksheet,rebecca,6,Moderate,Moderate,Easy,Moderate
177,worksheet,sea fever,3,Challenging,Challenging,Moderate,Challenging
178,worksheet,sea fever,4,Moderate,Moderate,Moderate,Moderate
179,worksheet,sea fever,5,Moderate,Moderate,Easy,Moderate
180,worksheet,sea fever,6,Easy,Easy,Easy,Easy
181,worksheet,secret garden,3,Difficult,Challenging,Moderate,Challenging
182,worksheet,secret garden,4,Challenging,Moderate,Moderate,Moderate
183,worksheet,secret garden,5,Moderate,Moderate,Easy,Moderate
184,worksheet,secret garden,6,Moderate,Easy,Easy,Easy
185,worksheet,sense,3,Difficult,Difficult,Difficult,Difficult
186,worksheet,sense,4,Challenging,Challenging,Challenging,Challenging
187,worksheet,sense,5,Moderate,Moderate,Moderate,Moderate
188,worksheet,sense,6,Moderate,Moderate,Moderate,Moderate
189,worksheet,shiba,3,Challenging,Moderate,Moderate,Moderate
190,worksheet,shiba,4,Moderate,Moderate,Moderate,Moderate
191,worksheet,shiba,5,Moderate,Moderate,Easy,Moderate
192,worksheet,shiba,6,Easy,Easy,Easy,Easy
193,worksheet,snowy river,3,Difficult,Difficult,Difficult,Difficult
194,worksheet,snowy river,4,Challenging,Challenging,Challenging,Challenging
195,worksheet,snowy river,5,Moderate,Moderate,Moderate,Moderate
196,worksheet,snowy river,6,Moderate,Moderate,Moderate,Moderate
197,worksheet,sonnet 18,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
198,worksheet,sonnet 18,4,Difficult,Difficult,Difficult,Difficult
199,worksheet,sonnet 18,5,Difficult,Challenging,Challenging,Challenging
200,worksheet,sonnet 18,6,Challenging,Moderate,Moderate,Moderate
201,worksheet,stopping by,3,Challenging,Moderate,Challenging,Challenging
202,worksheet,stopping by,4,Moderate,Moderate,Moderate,Moderate
203,worksheet,stopping by,5,Moderate,Easy,Moderate,Moderate
204,worksheet,stopping by,6,Easy,Easy,Moderate,Easy
205,worksheet,this is going to hurt,3,Difficult,Difficult,Difficult,Difficult
206,worksheet,this is going to hurt,4,Challenging,Challenging,Challenging,Challenging
207,worksheet,this is going to hurt,5,Moderate,Moderate,Challenging,Moderate
208,worksheet,this is going to hurt,6,Moderate,Moderate,Moderate,Moderate
209,worksheet,tom sawyer,3,Challenging,Challenging,Moderate,Challenging
210,worksheet,tom sawyer,4,Moderate,Moderate,Moderate,Moderate
211,worksheet,tom sawyer,5,Moderate,Moderate,Easy,Moderate
212,worksheet,tom sawyer,6,Easy,Easy,Easy,Easy
213,worksheet,treasure island,3,Difficult,Difficult,Difficult,Difficult
214,worksheet,treasure island,4,Challenging,Challenging,Challenging,Challenging
215,worksheet,treasure island,5,Moderate,Moderate,Moderate,Moderate
216,worksheet,treasure island,6,Moderate,Moderate,Moderate,Moderate
217,worksheet,tyger,3,Difficult,Difficult,Difficult,Difficult
218,worksheet,tyger,4,Challenging,Challenging,Challenging,Challenging
219,worksheet,tyger,5,Moderate,Moderate,Challenging,Moderate
220,worksheet,tyger,6,Moderate,Moderate,Moderate,Moderate
221,worksheet,umami,3,Difficult,Challenging,Challenging,Challenging
222,worksheet,umami,4,Challenging,Moderate,Moderate,Moderate
223,worksheet,umami,5,Moderate,Moderate,Moderate,Moderate
224,worksheet,umami,6,Moderate,Easy,Easy,Easy
225,worksheet,van,3,Challenging,Challenging,Moderate,Challenging
226,worksheet,van,4,Moderate,Moderate,Moderate,Moderate
227,worksheet,van,5,Moderate,Moderate,Easy,Moderate
228,worksheet,van,6,Moderate,Easy,Easy,Easy
229,worksheet,voyage,3,Difficult,Difficult,Difficult,Difficult
230,worksheet,voyage,4,Challenging,Difficult,Challenging,Challenging
231,worksheet,voyage,5,Moderate,Challenging,Moderate,Moderate
232,worksheet,voyage,6,Moderate,Moderate,Moderate,Moderate
233,worksheet,war of the worlds,3,Difficult,Difficult,Challenging,Difficult
234,worksheet,war of the worlds,4,Difficult,Challenging,Challenging,Difficult
235,worksheet,war of the worlds,5,Challenging,Challenging,Moderate,Challenging
236,worksheet,war of the worlds,6,Challenging,Moderate,Moderate,Moderate
237,worksheet,when u r old,3,Difficult,Difficult,Difficult,Difficult
238,worksheet,when u r old,4,Challenging,Challenging,Challenging,Challenging
239,worksheet,when u r old,5,Moderate,Moderate,Moderate,Moderate
240,worksheet,when u r old,6,Moderate,Moderate,Moderate,Moderate
241,worksheet,wind in the willows,3,Difficult,Difficult,Difficult,Difficult
242,worksheet,wind in the willows,4,Challenging,Challenging,Challenging,Challenging
243,worksheet,wind in the willows,5,Moderate,Moderate,Moderate,Moderate
244,worksheet,wind in the willows,6,Moderate,Moderate,Moderate,Moderate
245,worksheet,wizard,3,Challenging,Moderate,Challenging,Challenging
246,worksheet,wizard,4,Moderate,Moderate,Moderate,Moderate
247,worksheet,wizard,5,Moderate,Moderate,Easy,Moderate
248,worksheet,wizard,6,Easy,Easy,Easy,Easy
249,mocktest,the hobbit,3,Difficult,Difficult,Challenging,Difficult
250,mocktest,the hobbit,4,Challenging,Challenging,Moderate,Challenging
251,mocktest,the hobbit,5,Moderate,Moderate,Moderate,Moderate
252,mocktest,the hobbit,6,Moderate,Moderate,Easy,Moderate
253,mocktest,metamorphosis,3,Difficult,Difficult,Extremely Difficult,Difficult
254,mocktest,metamorphosis,4,Challenging,Challenging,Difficult,Challenging
255,mocktest,metamorphosis,5,Challenging,Moderate,Challenging,Challenging
256,mocktest,metamorphosis,6,Moderate,Moderate,Moderate,Moderate
257,mocktest,notre-dame,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
258,mocktest,notre-dame,4,Extremely Difficult,Difficult,Difficult,Difficult
259,mocktest,notre-dame,5,Difficult,Difficult,Moderate,Difficult
260,mocktest,notre-dame,6,Moderate,Moderate,Moderate,Moderate
261,mocktest,sleepy hollow,3,Difficult,Difficult,Challenging,Difficult
262,mocktest,sleepy hollow,4,Challenging,Challenging,Moderate,Challenging
263,mocktest,sleepy hollow,5,Moderate,Challenging,Moderate,Moderate
264,mocktest,sleepy hollow,6,Moderate,Moderate,Moderate,Moderate
265,mocktest,those winter,3,Challenging,Challenging,Difficult,Challenging
266,mocktest,those winter,4,Moderate,Moderate,Challenging,Moderate
267,mocktest,those winter,5,Moderate,Moderate,Moderate,Moderate
268,mocktest,those winter,6,Easy,Easy,Moderate,Easy
269,mocktest,JANE EYRE,3,Difficult,Difficult,Difficult,Difficult
270,mocktest,JANE EYRE,4,Challenging,Challenging,Challenging,Challenging
271,mocktest,JANE EYRE,5,Moderate,Moderate,Moderate,Moderate
272,mocktest,JANE EYRE,6,Moderate,Moderate,Moderate,Moderate
273,mocktest,DORIAN,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
274,mocktest,DORIAN,4,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
275,mocktest,DORIAN,5,Difficult,Difficult,Difficult,Difficult
276,mocktest,DORIAN,6,Difficult,Challenging,Difficult,Difficult
277,mocktest,dorian gray,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
278,mocktest,dorian gray,4,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
279,mocktest,dorian gray,5,Difficult,Difficult,Difficult,Difficult
280,mocktest,dorian gray,6,Difficult,Challenging,Difficult,Difficult
