Id,Source,PassageName,QuestionId,QuestionText,QuestionTypeId,QuestionDifficulty,A,B,C,D,E,IsInvalid,CreatedOn,UpdatedOn
14,mocktest,bluebird,14,How does the bluebird feel after he has been freed for a night?,1,4,Joyful,Mischievous,Weary,Miserable,NULL,0,58:14.5,16:30.0
15,mocktest,bluebird,15,The poet says they ëhavenít quite let him dieí. Why hasnít the poet let the bluebird die?,1,5,The poet cares about the bluebird.,The poet wants to torture the bluebird.,The poet pities the bluebird.,The poet fears the bluebird.,NULL,0,58:14.5,16:30.0
16,mocktest,bluebird,16,Which of the following does NOT suggest that the poet loves the bluebird?,1,5,ëyou want to screw up the / works?í,"ëI know that youíre there, / so donít be / sad.í",ëwe sleep together like / thatí,ëitís nice enough to / make a man / weepí,NULL,0,58:14.5,16:30.0
17,mocktest,bluebird,17,"In the phrase ëour / secret pactí, what is the meaning of ëpactí?",6,5,Space,Arrangement,Song,Feelings,NULL,0,58:14.5,16:30.0
18,mocktest,bluebird,18,"According to the poet, how do they feel about hiding the bluebird almost all the time?",1,4,wise and strong,conflicted and weary,tough and brave,cowardly and false,NULL,0,58:14.5,16:30.0
19,mocktest,bluebird,19,Why might the poet have chosen to use the word ëmaní in the phrase ëitís nice enough to / make a man / weepí?,2,5,"To accentuate the niceness of the pact, as men are less likely to cry.","To show the failure of the pact, as men are usually raised to hide their emotions.",To suggest that the arrangement is unusual.,To show the similarities between the author hiding the bluebird and men being taught not to cry.,NULL,0,58:14.5,16:30.0
20,mocktest,bluebird,20,"Even though the poet has told us about the bluebird and their secret pact, they are quick to say ëbut / I donít weepí. What does this suggest about the poet?",1,5,They are happy.,They are apologetic.,They are a man.,They do not want the reader to think that they cry.,NULL,0,58:14.5,16:30.0
21,mocktest,bluebird,21,The final words of the poem are ëdo / you?í Why might the poet have chosen to end their poem in this way?,2,5,The poet wants the reader to think about whether they also deny themselves their emotions,The poet wants the reader to stop crying.,The poet wants the reader to think that crying makes you weak.,The poet is certain the reader doesnít weep.,NULL,0,58:14.5,16:30.0
22,mocktest,bluebird,22,What does the bluebird represent?,2,5,Anger,Humour,Sadness,Gentle emotions,NULL,0,58:14.5,16:30.0
23,mocktest,bluebird,23,Which of the following is LEAST likely to be a reason the poet chose to use a bluebird in the poem?,2,5,Bluebirds are soft.,Bluebirds can fly.,Bluebirds can be kept in cages.,Bluebirds are popular with gardeners.,NULL,0,58:14.5,16:30.0
24,mocktest,bluebird,24,The sentences in this poem are broken into many lines - sometimes with only one word in a line. What effect does a new line have on the speed which you read?,5,4,You slow down.,You speed up.,You read more smoothly.,There is no effect.,NULL,0,58:14.5,16:30.0
25,mocktest,bluebird,25,The poet avoids using capital letters for most of the poem. Why might this be?,2,5,The poem is not to be published.,The poem has no complete sentences.,The poem is quiet and secretive.,The poet is triumphant and proud.,NULL,0,58:14.5,16:30.0
26,mocktest,dorian gray,1,In whose residence does this passage take place?,1,3,Dorian Grayís,Alan Campbellís,Lord Henry Wottonís,"No oneís, it is occurring in public.",It is not mentioned in the text.,0,58:14.5,16:30.0
27,mocktest,dorian gray,2,ëThere was a look of contempt in the steady searching gaze that he turned on Dorian.í (lines 2-3) Which of the following best describes Alanís initial assessment of Dorian?,1,4,He is not familiar with him and is thus curious.,He respects him but isnít particularly interested.,He is wary of him and looking out for danger.,He detests him and wants to turn away from him.,He is scornful and evaluating.,0,58:14.5,16:30.0
28,mocktest,dorian gray,3,"In line 4, Dorian says, ëit is a matter of life and death, Alan, and to more than one personí. To whom is it a matter of life and death?",4,5,"No one, Dorian lied to convince Alan to come.","To Dorian, because he may be hanged; and to Alan because of the contents of the letter.","To the dead man, because he is the only person who has died.","To Dorian, because he may be hanged; and to the dead man, because he has died.","To Dorian, because he may be hanged; to Alan, because of the contents of the letter; as well as to the dead man, because he has died.",0,58:14.5,16:30.0
29,mocktest,dorian gray,4,"ëCampbell took a chair by the table, and Dorian sat opposite to him.í (line 6). Why might the author have decided to use Dorianís given name and not Alanís?",2,5,To make us aware of Alanís surname.,To show that Dorian is not familiar with Alan.,To show that Alan is not familiar with Dorian.,Because the readers are not familiar with Alan.,Because Dorian does not like Alan.,0,58:14.5,16:30.0
30,mocktest,dorian gray,5,ëIn Dorianís there was infinite pity.í (line 7) Who or what is Dorian pitying?,1,4,himself,the circumstances,Alan,the dead man,We do not find out.,0,58:14.5,16:30.0
31,mocktest,dorian gray,6,Which of the following words is closest in meaning to ëstrainedí (line 8)?,6,2,filtered,pulled,forced,tense,twisted,0,58:14.5,16:30.0
32,mocktest,dorian gray,7,When did Dorian send for Alan?,1,3,within the last ten hours,several days prior,a week ago,many months ago,It is not mentioned in the text.,0,58:14.5,16:30.0
33,mocktest,dorian gray,8,Why doesnít Dorian finish his sentence in line 12?,1,5,He is pausing for thought.,He is forcefully interrupted.,He is speaking about a difficult subject and cannot go on.,He is leaving his request to implication.,He stops because of Alanís facial expression.,0,58:14.5,16:30.0
34,mocktest,dorian gray,9,How did Alan once feel about Dorianís ëhorrible secretsí (line 15)?,1,4,He thought they were tedious and listened to them grudgingly.,He was not interested in them.,He was interested in them despite finding them scandalous.,He was intrigued but did not want to be involved in Dorianís life.,He was bewildered by them.,0,58:14.5,16:30.0
35,mocktest,dorian gray,10,What is the favour Dorian wants from Alan?,1,4,To destroy the room upstairs,To teach him chemistry,To remove his fingerprints from the scene of the crime,To help him bury the body upstairs,To disintegrate the corpse,0,58:14.5,16:30.0
36,mocktest,dorian gray,11,"Why does Dorian say, ëI was waiting for you to call me Dorianí (line 23)?",2,5,It is the first time Alan has addressed him in this conversation.,Dorian wanted Alan to unintentionally admit their familiarity.,"Dorian has been trying to rile Alan up, and he has succeeded, as Alan using his first name is informal and rude.",Dorian is self-centred and simply enjoys hearing his name.,Dorian dislikes his surname.,0,58:14.5,16:30.0
37,mocktest,dorian gray,12,Alan suggests that he would not even ëraise a fingerí (line 24). This is an example ofÖ,5,3,an idiom,personification,a myth,a simile,onomatopoeia,0,58:14.5,16:30.0
38,mocktest,dorian gray,13,ëmonstrous confessioní (line 25). What does the word ëmonstrousí tell us about Alanís opinion of the confession?,6,4,He thinks it horrific.,He feels that it is ridiculous.,He finds it difficult to believe in its validity.,He believes it is an enormous secret.,He thinks it is dangerous.,0,58:14.5,16:30.0
39,mocktest,dorian gray,14,What is meant by ëperilí (line 26)?,6,5,danger,hazardous,risk,ruin,bet,0,58:14.5,16:30.0
40,mocktest,dorian gray,15,"Why does Alan say, ëHow dare you ask me, of all men in the worldí (lines 32-33)?",1,5,He is astonished that Dorian would ask a stranger instead of a friend for such a favour.,He is dumbfounded that he was chosen when there are so many other people who might be more knowledgeable.,He is angry that Dorian would ask him for something so difficult.,He is admiring Dorianís bravery.,He is insulted that Dorian believes Alan would ever aid him in any way.,0,58:14.5,16:30.0
41,mocktest,dorian gray,16,"What does Alan think when Dorian tells him, ëIt was suicideí (line 38)?",1,5,It is good that the man has died.,Dorian helped the man commit suicide.,Dorian tormented the man in life.,Dorian is lying to cover up the fact that he murdered the man.,Dorian was uninvolved and is telling the truth.,0,58:14.5,16:30.0
42,mocktest,dorian gray,17,"Dorian says, ëWhatever my life is, he had more to do with the making or the marring of it than poor Harry has had.í (lines 38-39) What does the word ëmarringí suggest about Lord Henry Wottonís influence?",6,5,It has been positive.,It has been negative.,It has been educational.,It has deformed Dorianís appearance.,"Nothing, Lord Wotton has not been mentioned by Dorian.",0,58:14.5,16:30.0
43,mocktest,dorian gray,18,Why is Alan certain that Dorian will be arrested?,1,5,Dorian is already a suspect.,He believes Dorian is incompetent.,The man who Dorian has killed is well known.,Alan intends to inform the police.,Alan is certain that Dorian has left evidence of his crime.,0,58:14.5,16:30.0
44,mocktest,dorian gray,19,"What type of words are the following? intended (line 1), stir (line 10), decline (line 14), induce (line 35), hang (line 53)",5,3,nouns,verbs,adjectives,adverbs,prepositions,0,58:14.5,16:30.0
45,mocktest,dorian gray,20,"In lines 60-63, Dorian carefully writes down what he wants to say instead of speaking and then walks over to the window. Why does he choose to do this?",1,5,He has grown tired of the conversation.,He is afraid someone will overhear what he is about to say and walks to the window to check for eavesdroppers.,He believes it will be faster and wants to check outside for police.,He feels guilty about what he is about to do and cannot bear to see Alanís expression.,He is composing the letter that he plans to send and walks away to give Alan time to read it.,0,58:14.5,16:30.0
46,mocktest,dorian gray,21,"What type of words are the following? searching (line 3), infinite (line 7), mad (line 22), bowed (line 51), pale (line 65)",5,3,nouns,verbs,adjectives,adverbs,prepositions,0,58:14.5,16:30.0
47,mocktest,dorian gray,22,What type of word is ëhollowí (line 67)?,5,4,noun,verb,adjective,adverb,preposition,0,58:14.5,16:30.0
48,mocktest,dorian gray,23,"How many verbs can you count in the sentence beginning on line 68: ëAfter two or three minutes of terrible silence, Öí?",5,3,1,2,3,4,5,0,58:14.5,16:30.0
49,mocktest,dorian gray,24,Which word might equally convey the meaning of ëalternativeí (line 70)?,6,4,choice,unorthodox,optional,spare,adjustment,0,58:14.5,16:30.0
50,mocktest,dorian gray,25,"Dorian says, ëIf you donít help me, I will send it. But you are going to help me. It is impossible for you to refuse now. I tried to spare you.í (lines 72-73). What do these statements suggest?",1,5,Dorian has just discovered a way to ensure Alanís compliance.,Dorian tried to spare Alan from helping him do this favour.,Dorian is yet uncertain whether Alan will help him.,Dorian knew from the beginning of the conversation that Alan would help him.,Alan is going to help Dorian.,0,58:14.5,16:30.0
51,mocktest,dorian gray,26,"Dorian tells many lies while trying to convince Alan to help him. Which of the following, from the information provided in the passage, are we certain is true?",1,5,Dorian murdered the man upstairs.,Dorian and Alan were friends in the past.,Alan is a biologist.,Dorian will be hung if he is caught.,The man upstairs had made Dorian suffer greatly.,0,58:14.5,16:30.0
52,mocktest,dorian gray,27,"Despite the grave situation, Dorian frequently makes witty remarks in the conversation. Which of the following is a display of wit? (1) It is a matter of life and death, Alan and to more than one person. (line 4) (2) Alan, you know about chemistry and thi",1,5,All of the above,(1).,(1) and (2),"(1), (3) and (5)","(1), (4) and (5)",0,58:14.5,16:30.0
53,mocktest,dorian gray,28,Which of the following is closest in meaning to ëdictateí (line 76)?,6,4,behest,question,announce,determine,read,0,58:14.5,16:30.0
54,mocktest,jane eyre,1,What was Jane doing in the window-seat before John arrived?,1,1,reading Bewick,reading Goldsmith,reading a book we do not know the title of,"petting Bewick, the cat",hiding from John,0,58:14.5,16:30.0
55,mocktest,jane eyre,2,"From the text, what is the suggested relationship between Eliza, Georgina and John?",2,3,friends,siblings,neighbours,cousins,classmates,0,58:14.5,16:30.0
56,mocktest,jane eyre,3,Why couldnít John find Jane?,1,3,His vision was impaired.,He entered the wrong room.,Jane hid behind the curtain when he arrived.,"Jane had drawn the curtains beforehand, hiding her from view.","Jack found her first, because Eliza had told him where she was.",0,58:14.5,16:30.0
57,mocktest,jane eyre,4,How was Jane displaced from the window-seat?,1,3,Eliza saw Jane.,Eliza predicted where Jane was hiding.,"Jane left her hiding place, fearful of John dragging her out.",Jane dropped her book and the noise alerted John.,Jack dragged Jane out.,0,58:14.5,16:30.0
58,mocktest,jane eyre,5,Which of the following best describes how Jane usually conducts herself around John?,1,4,She treats him respectfully but is careless with her words.,"She spitefully ignores him, rarely replying to what he says.",She is combative despite her diffidence.,She is habitually obedient and responds to what he says.,She asserts her boundaries and refuses to be bullied.,0,58:14.5,16:30.0
59,mocktest,jane eyre,6,"ëHe bullied and punished me; not two or three times in the week, nor once or twice in the day, but continuallyí Why does Jane choose to explain the frequency of Johnís bullying in this way?",2,5,She is exaggerating.,She is using hyperbole.,She wants to express that she wasnít bullied much.,She wants to make clear the incessant nature of the bullying.,"She is recalling the past, so we are following her train of thought.",0,58:14.5,16:30.0
60,mocktest,jane eyre,7,Which of the following words does not describe Janeís opinion of John?,1,4,prudent,disgusting,terrifying,malevolent,cruel,0,58:14.5,16:30.0
61,mocktest,jane eyre,8,"Aside from the incident described in the passage, why didnít the adults intervene with Johnís constant bullying?",1,5,"He rarely hit Jane, so none of the adults took it seriously.",The servants and Mrs. Reed were unaware of the harassment.,The servants didnít want to offend John. Mrs. Reed was unaware of the harassment.,The servants didnít want to offend the young master. Mrs. Reed ignored it.,The servants didnít want to offend John. Mrs. Reed was blind and deaf.,0,58:14.5,16:30.0
62,mocktest,jane eyre,9,"ìI wonder if he read that notion in my faceî Which of the following, regarding this clause, is true?",1,5,Jane was wondering if John would hit her.,Jane was wondering if John noticed that she wasnít scared.,Jane was wondering if John knew he was disgusting.,Jane was wondering if John noticed she held him in low regard.,The author is using a simile.,0,58:14.5,16:30.0
63,mocktest,jane eyre,10,Which of the following furnishings is not mentioned to be in the breakfast-room?,1,4,an armchair,a window-seat,a curtain,a mirror,a pillow,0,58:14.5,16:30.0
64,mocktest,jane eyre,11,"John likes to make up reasons for why he hurts Jane, to excuse his violence. Which of the following reasons does he fail to use?",1,5,Jane replied to Mrs. Reed.,Jane read a book in the house.,Jane had an unpleasant expression on her face.,Jane was sitting in the window-seat.,"Jane insulted him, saying he was like the Roman emperors.",0,58:14.5,16:30.0
65,mocktest,jane eyre,12,What impression do we get of Mrs. Reed?,2,5,She is protective of Jane.,She is unobservant.,She is biased.,She is humble.,She is generous.,0,58:14.5,16:30.0
66,mocktest,jane eyre,13,"From the information in the passage, which of the following facts do we know about the household that is keeping Jane?",1,5,They cannot afford to pay for Janeís expenses.,Jane is not related to them.,John will inherit the house.,They have precisely two servants.,Mrs. Reed is the head of the household.,0,58:14.5,16:30.0
67,mocktest,jane eyre,14,Why was Jane bleeding? Because of the...,1,3,mirror,window,knife,door,book,0,58:14.5,16:30.0
68,mocktest,jane eyre,15,What parallel does Jane draw in paragraph 19?,1,5,a parallel between the Roman emperors and John,a parallel between Nero and Caligula,a parallel between herself and Goldsmith,a parallel between herself and John,It is not mentioned in the text.,0,58:14.5,16:30.0
69,mocktest,jane eyre,16,What was the significance of blood in this passage?,2,5,The blood distracted John.,The blood finally pushed the adults to take the bullying seriously.,The blood led Jane to be taken to the infirmary.,The blood caused Jane to be terrified.,The blood angered Jane.,0,58:14.5,16:30.0
70,mocktest,jane eyre,17,What suggests that Jane alone will be punished?,2,5,"Mrs. Reed exclaimed, ìWhat a fury to fly at Master John!î",Mrs. Reed ordered for Jane to be taken away to the red-room and locked in there.,Mrs. Reed comforted John.,Mrs. Reed has never punished John in the past for bullying Jane.,Mrs. Reed didnít see John hurting Jane.,0,58:14.5,16:30.0
71,mocktest,jane eyre,18,ëhe called me ìRat! Rat!î and bellowed out aloudí What does the word ëbellowedí say about the way John was speaking?,6,3,He was shouting frantically.,He was shouting in a low-voice.,He was afraid.,He was throwing up.,He was in pain.,0,58:14.5,16:30.0
72,mocktest,jane eyre,19,What does the word ëhabituallyí suggest about Jane?,6,4,She lives in the house as if it is her own home.,She treats John like family.,She is used to doing things for John.,She doesnít want to help.,She is occasionally obedient to John.,0,58:14.5,16:30.0
73,mocktest,jane eyre,20,What is another word for ëstoutí?,6,2,strong,weaselly,tall,immature,heavy,0,58:14.5,16:30.0
74,mocktest,jane eyre,21,ëI wished fervently he might not discover my hiding-placeí What is another way of saying ëferventlyí?,6,4,hopefully,foolishly,silently,absently,desperately,0,58:14.5,16:30.0
75,mocktest,jane eyre,22,ëmy care was how to endure the blow which would certainly follow the insultí Which of the following words is closest in meaning to ëendureí?,6,3,block,end,bear,bare,prevent,0,58:14.5,16:30.0
76,mocktest,jane eyre,23,What would be another word for ëdiffidenceí?,6,4,boldness,tone,pushiness,despondency,timidity,0,58:14.5,16:30.0
77,mocktest,jane eyre,24,"ëthe servants did not like to offend their young master by taking my part against him,í What is meant by the phrase ëtaking my part against him?",4,4,taking Janeís share,taking Johnís share,taking Janeís side,taking Johnís side,taking part in the bullying,0,58:14.5,16:30.0
78,mocktest,jane eyre,25,What type of word is ësufferingí?,5,3,noun,verb,adjective,adverb,preposition,0,58:14.5,16:30.0
79,mocktest,jane eyre,26,"What type of words are the following? apparently, fervently, immediately, continually",5,4,nouns,verbs,adjectives,adverbs,prepositions,0,58:14.5,16:30.0
80,mocktest,jane eyre,27,ëevery morsel of flesh in my bones shrank when he came nearí This is an example ofÖ,5,5,a metaphor,personification,exaggeration,a simile,assonance,0,58:14.5,16:30.0
81,mocktest,jane eyre,28,John exclaims ëBohí This is an example ofÖ,5,3,a metaphor,onomatopoeia,exaggeration,a simile,alliteration,0,58:14.5,16:30.0
82,mocktest,jane eyre,29,What type of word is ëdrivingí?,5,3,noun,verb,adjective,adverb,preposition,0,58:14.5,16:30.0
83,mocktest,metamorphosis,1,"From the text, what is the suggested relationship between Eliza, Georgina andJohn?",4,5,friends,siblings,neighbours,cousins,NULL,0,58:14.5,16:30.0
84,mocktest,metamorphosis,2,Why couldn't John find Jane?,1,5,His vision was impaired.,He entered the wrong room.,Jane hid behind the curtain when he arrived.,"Jane had drawn the curtains beforehand, hiding her from view.",NULL,0,58:14.5,16:30.0
85,mocktest,metamorphosis,3,How was Jane displaced from the window-seat?,1,5,Eliza saw Jane.,Eliza predicted where Jane was hiding.,"Jane left her hiding place, fearful of John dragging her out.",Jane dropped her book and the noise alerted John.,NULL,0,58:14.5,16:30.0
86,mocktest,metamorphosis,4,Which of the following best describes how Jane usually conducts herself around John?,1,5,She treats him respectfully but is careless with her words.,"She spitefully ignores him, rarely replying to what he says.",She is combative despite her diffidence.,She is habitually obedient and responds to what he says.,NULL,0,58:14.5,16:30.0
87,mocktest,metamorphosis,5,"√¢‚Ç¨ÀúHe bullied and punished me; not two or three times in the week, nor once or twice in the day, but continually' Why does Jane choose to explain the frequency of John's bullying in this way?",2,5,She is exaggerating.,She is using hyperbole.,She wants to express that she wasn't bullied much.,She wants to make clear the incessant nature of the bullying.,NULL,0,58:14.5,16:30.0
88,mocktest,metamorphosis,6,"Aside from the incident described in the passage, why didn't the adults intervene with John's constant bullying?",2,5,"He rarely hit Jane, so none of the adults took it seriously.",The servants and MrsReed were unaware of the harassment.,The servants didn't want to offend JohnMrsReed was unaware of the harassment.,The servants didn't want to offend the young masterMrsReed ignored it.,NULL,0,58:14.5,16:30.0
89,mocktest,metamorphosis,7,Which of the following furnishings is not mentioned to be in the breakfast-room?,1,5,an armchair,a window-seat,a curtain,a mirror,NULL,0,58:14.5,16:30.0
90,mocktest,metamorphosis,8,"John likes to make up reasons for why he hurts Jane, to excuse his violenceWhich of the following reasons does he fail to use?",1,5,Jane replied to MrsReed.,Jane read a book in the house.,Jane had an unpleasant expression on her face.,Jane was sitting in the window-seat.,NULL,0,58:14.5,16:30.0
91,mocktest,metamorphosis,9,What impression do we get of MrsReed?,1,5,She is protective of Jane.,She is unobservant.,She is biased.,She is humble.,NULL,0,58:14.5,16:30.0
92,mocktest,metamorphosis,10,.√Ç¬† Gregor fails to get back to sleepWhy is this so?,1,3,He is uncomfortable.,He is unable to forget about all the nonsense.,He is stuck on his left.,The bed is too small.,NULL,0,58:14.5,16:30.0
93,mocktest,metamorphosis,11,".√Ç¬† In paragraph 3, why does Gregor √¢‚Ç¨Àúshut his eyes'?",1,4,He is trying to fall asleep.,He doesn't want to be reminded of his present state.,To avoid getting motion sickness.,So he doesn't have to see the legs of the table.,NULL,0,58:14.5,16:30.0
94,mocktest,metamorphosis,12,.√Ç¬† Which of the following best describes Gregor's efforts to get back to sleep?,1,4,Resolute,Fickle,Ingenious,Successful,NULL,0,58:14.5,16:30.0
95,mocktest,metamorphosis,13,.√Ç¬† The phrase √¢‚Ç¨Àúday in and day out' is an example of an idiomWhat is an idiom?,5,5,An expression with repeated words,An expression with multiple meanings,An expression with an unpredictable meaning,An expression with a predictable meaning,NULL,0,58:14.5,16:30.0
96,mocktest,metamorphosis,14,.√Ç¬† What does Gregor think of doing business at home?,1,4,It is an exhausting career.,It is preferable to his job because there is less travelling involved.,It is harder than his job because there is more travelling involved.,It is less desirable than his job on account of the effort required.,NULL,0,58:14.5,16:30.0
97,mocktest,metamorphosis,15,".√Ç¬† According to paragraph 4, what does Gregor think of his job?",1,4,Option 1 only,Option 2 only,Options 1 and 3 only,"Options 1, 3 and 4 only",NULL,0,58:14.5,16:30.0
98,mocktest,metamorphosis,16,".√Ç¬† In paragraph 4, which of the following does Gregor mention about his job?",1,4,The hassle of purchasing train tickets,The relentless travelling,The delicious food,The excitement of contacting different people all the time,NULL,0,58:14.5,16:30.0
99,mocktest,metamorphosis,17,.√Ç¬† √¢‚Ç¨ÀúHe slid back into his former position.' What does the word √¢‚Ç¨Àúformer' mean in this context?,1,4,More comfortable,Usual,Next,Prone,NULL,0,58:14.5,16:30.0
100,mocktest,metamorphosis,18,.√Ç¬† What does Gregor think a lack of sleep causes?,1,4,Stupidity,Ungratefulness,Resilience,A life of luxury,NULL,0,58:14.5,16:30.0
101,mocktest,metamorphosis,19,".√Ç¬† According to the text, which of the following do all travelling salesman experience?",1,4,"Lack of sleep, regular travelling and worries about making train connections","Travelling, meetings and partings","Getting up early, irregular food and meeting different people","Copying contracts, exotic food and inadequate time to form friendships",NULL,0,58:14.5,16:30.0
102,mocktest,metamorphosis,20,.√Ç¬† What impression does Gregor have of his boss?,2,5,"His boss is understanding and generous, but strict.","His boss is lenient, funny and fair.","His boss is strict, unforgiving and mean.","His boss is demanding, organised and easily startled.",NULL,0,58:14.5,16:30.0
103,mocktest,metamorphosis,21,.√Ç¬† Why doesn't Gregor quit his job?,1,5,He wants to be responsible and support his parents.,He loves his job despite its strenuous nature.,He is planning to bring up his concerns with his boss and demand a change.,He has signed a contract and cannot quit.,NULL,0,58:14.5,16:30.0
104,mocktest,metamorphosis,22,.√Ç¬† Has Gregor brought his concerns about his job up to his boss before?,1,5,"Yes, but he was ignored.","No, but he plans to as soon as possible.","No, as he expects he may be fired.",We do not know.,NULL,0,58:14.5,16:30.0
105,mocktest,metamorphosis,23,.√Ç¬† How long has Gregor been a travelling salesman?,2,5,A week at most,A long time,A month,A fortnight,NULL,0,58:14.5,16:30.0
106,mocktest,metamorphosis,24,.√Ç¬† What does Gregor plan to do in five or six years?,1,5,Pay off his debt to his parents,Push his boss off his desk,Ask for a promotion,Give in his notice,NULL,0,58:14.5,16:30.0
107,mocktest,metamorphosis,25,".√Ç¬† √¢‚Ç¨ÀúFirst of all though, I've got to get up, my train leaves at five.' What is strange about this thought?",2,5,Gregor hates his job but still plans to get there on time.,The train leaving √¢‚Ç¨Àúat five' is not a specific time.,Gregor needs to visit the guest house first to copy the contract.,Gregor has turned into an insect-like creature but is still planning to go to work.,NULL,0,58:14.5,16:30.0
108,mocktest,notre-dame,1,"What does paragraph 1 reveal to us, definitively, about the narrator of this text?",1,4,They believe that Paris has become more beautiful.,They lived before the twentieth century.,They were born in Paris.,They live in the time of Louis XI.,NULL,0,58:14.5,16:30.0
109,mocktest,notre-dame,2,"According to paragraph 1, which of the following is an incorrect belief usually held by Parisians?",1,5,They believe Paris has gained ground.,They believe Paris has grown more than it has.,They believe Paris has grown less than it has.,They believe Paris has shrunk.,NULL,0,58:14.5,16:30.0
110,mocktest,notre-dame,3,"According to paragraph 2, what land-form is shaped like a cradle?",1,4,Paris of the fifteenth century,Paris at its birth,The old island of the City,The Seine,NULL,0,58:14.5,16:30.0
111,mocktest,notre-dame,4,"During the time Paris was in its island state, what were √¢‚Ç¨Àúthe Grand-Ch√É¬¢telet' and √¢‚Ç¨Àúthe Petit-Ch√É¬¢telet'?",1,5,√Ç¬†,Island states,Bridges,Bridge arches,NULL,0,58:14.5,16:30.0
112,mocktest,notre-dame,5,"In paragraph 3, we learn that Paris √¢‚Ç¨Àúcrossed the water'What reason is given for this?",1,5,The kings of the first race declared it so.,The island was flooded.,Paris couldn't be on the island.,The space Paris was occupying was insufficient.,NULL,0,58:14.5,16:30.0
113,mocktest,notre-dame,6,"In paragraph 3, the author mentions an √¢‚Ç¨Àúancient enclosure'In the same paragraph, what is another way it is described?",1,5,The Grand and Petit-Ch√É¬¢telet,The first circle of walls and towers,The country,The two sides of the Seine,NULL,0,58:14.5,16:30.0
114,mocktest,notre-dame,7,In which time did the ancient enclosure exist?,1,5,300 years ago,In the last century,In the nineteenth century,In the fifteenth century,NULL,0,58:14.5,16:30.0
115,mocktest,notre-dame,8,"According to paragraph 4, how was the first circle of walls and towers worn away?",1,5,Slowly,Suddenly,Irregularly,Quietly,NULL,0,58:14.5,16:30.0
116,mocktest,notre-dame,9,How do the houses stay within the √¢‚Ç¨Àúcircular chain of great towers' in paragraph 4?,1,5,"The houses are lofty and solid, so they can accommodate more people.","They have no choice, because Philip Augustus has imprisoned the citizens of Paris.",They build houses on top of the water.,The houses are squeezed into every space and grow taller.,NULL,0,58:14.5,16:30.0
