Source,PassageName,QuestionId,Question,A,B,C,D,E
worksheet,dorian,3,To whom is it a matter of life and death?,His vision was impaired,"To Dorian, becaushmay bhanged; anto Alan because of the contents of the letter","To thdeaman, becaushis thonly person who has died","To Dorian, becaushmay bhanged; anto thdeaman, because he has died","To Dorian, becaushmay bhanged; to Alan, becausof thcontents of the letter; as well as to thdeaman, because he has died"
worksheet,dorian,4,Why might the author have decided to use Dorian¬ís given name and not Alan¬ís?,Himself,The circumstances,Alan,The dead man,We do not find out
worksheet,dorian,5,Which of the following words is closest in meaning to ¬ëstrained¬í (line 8)?,Filtered,Pulled,Forced,Tense,Twisted
worksheet,dorian,6,Why doesn¬ít Dorian finish his sentence in line 11?,He is pausing for thought,He is forcefully interrupted,He is speaking about a difficult subject and cannot go on,He is leaving his request to implication,He stops because of Alanís facial expression
worksheet,dorian,7,How did Alan once feel about Dorian¬ís ¬ëhorrible secrets¬í (line 14)?,He thought they were tedious and listened to them grudgingly,He was not interested in them,He was interested in them despite finding them scandalous,He was intriguebut dinot want to be involvein Dorianís life,He was bewildered by them
worksheet,dorian,8,What is the favour Dorian wants from Alan?,To destroy the room upstairs,To teach him chemistry,To remove his fingerprints from the scene of the crime,To help him bury the body upstairs,To disintegrate the corpse
worksheet,dorian,9,"Why does Dorian say, ¬ëI was waiting for you to call me Dorian¬í (line 21)?",It is the first time Alan has addressed him in this conversation,Dorian wanted Alan to unintentionally admit their familiarity,"Dorian has been trying to rile Alan up, and he has succeeded, as Alan using his first name is informal and rude",Dorian is self-centreansimply enjoys hearing his name,Dorian dislikes his surname
worksheet,dorian,10,Alan suggests that he would not even ¬ëraise a finger¬í (line 22). This is an example of¬Ö,An idiom,Personification,A myth,A simile,Onomatopoeia
worksheet,dorian,11,¬ëmonstrous confession¬í (line 23). What does the word ¬ëmonstrous¬í tell us about Alan¬ís opinion of the confession?,He thinks it horrific,He feels that it is ridiculous,He finds it difficult to believe in its validity,He believes it is an enormous secret, He thinks it is dangerous
worksheet,dorian,12,What is meant by ¬ëperil¬í (line 24)?,Danger,Hazardous,Risk,Ruin, Bet
worksheet,dorian,13,"Why does Alan say, ¬ëHow dare you ask me, of all men in the world¬í (lines 30)?",He is astonished that Dorian would ask a stranger instead of a friend for such a favour,He is dumbfounded that he was chosen when there are so many other people who might be more knowledgeable,He is angry that Dorian would ask him for something so difficult,He is admiring Dorianís bravery,He is insulted that Dorian believes Alan would ever aid him in any way
worksheet,dorian,14,"What does Alan think when Dorian tells him, ¬ëIt was suicide¬í (line 26)?",It is good that the man has died,Dorian helped the man commit suicide,Dorian tormented the man in life,Dorian is lying to cover up the fact that he murderethe man,Dorian was uninvolved and is telling the truth
worksheet,dorian,15,"Dorian says, ¬ëWhatever my life is, he had more to do with the making or the marring of it than poor Harry has had.¬í (lines 35-36) What does the word ¬ëmarring¬í suggest about Lord Henry Wotton¬ís influence?",It has been positive,It has been negative,It has been educational,It has deformeDorianís appearance," Nothing, Lord Wotton has not been mentioned by Dorian"
worksheet,dorian,16,Why is Alan certain that Dorian will be arrested?,Dorian is already suspect,He believes Dorian is incompetent,The man who Dorian has killed is well known,Alan intends to inform the police,Alan is certain that Dorian has left evidence of his crime
worksheet,dorian,17,"What type of words are the following? intended (line 4), stir (line 10), decline (line 13), induce (line 33), hang (line 49)",Nouns,Verbs,Adjectives,Adverbs,Prepositions
worksheet,dorian,18,In lines 57-59 Dorian carefully writes down what he wants to say instead of speaking and then walks over to the window. Why does he choose to do this?,He has grown tired of the conversation,He is afraid someone will overhear what he is about to say and walks to the window to check for eavesdroppers,He believes it will be faster and wants to check outside for police,He feels guilty about what he is about to do ancannot bear to see Alanís expression,E He is composing the letter that he plans to send and walks away to give Alan time to read it
worksheet,dorian,19,"What type of words are the following? searching (line 4), infinite (line 7), mad (line 20), bowed (line 48), pale (line 61)",Noun,Verbs,Adjectives,Adverbs,Prepositions
worksheet,dorian,20,What type of word is ¬ëhollow¬í (line 63)?,Noun,Verbs,Adjectives,Adverbs,Prepositions
worksheet,dorian,21,"How many verbs can you count in the sentence beginning on line 64: ¬ëAfter two or three minutes of terrible silence, ¬Ö¬í?",1,2,3,4,5
worksheet,dorian,22,Which word might equally convey the meaning of ¬ëalternative¬í (line 66)?,Noun,Unorthodox,Optional,Spare, Adjustment
worksheet,dorian,23,"Dorian says, ¬ëIf you don¬ít help me, I will send it. But you are going to help me. It is impossible for you to refuse now. I tried to spare you.¬í (lines 68-69). What do these statements suggest?",Dorian has just discovered way to ensure Alanís compliance,Dorian tried to spare Alan from helping him do this favour,Dorian is yet uncertain whether Alan will help him,Dorian knew from the beginning of the conversation that Alan woulhelp him., Alan is going to help Dorian
worksheet,dorian,24,"Dorian tells many lies while trying to convince Alan to help him. Which of the following, from the information provided in the passage, are we certain is TRUE ?",Dorian murdered the man upstairs,Dorian and Alan were friends in the past,Alan is a biologist,Dorian will be hung if he is caught,The man upstairs had made Dorian suffer greatly
worksheet,dorian,25,"Despite the grave situation, Dorian frequently makes witty remarks in the conversation. Which of the following is a display of wit?",All of the above,-1,(1) and (2),"(1), (3) an(5)","(1), (4) and (5)"
worksheet,dorian,26,Which of the following is closest in meaning to ¬ëdictate¬í (line 71)?,Behest,Question,Announce,Determine, Read
worksheet,dreams of a giant life,1,How does the narrator look back?,By using a mirror,By turning around,By remembering memories,It is not stated how,NULL
worksheet,dreams of a giant life,2,What is the main feeling at the end of the first verse?,The narrator is reminiscing about life,The narrator has changed from when they were young,The narrator has changed beyond recognition,The narrator has enjoyed changing and growing,NULL
worksheet,dreams of a giant life,3,ìThe equal waters of a lovely bayî (line 8). What does this mean?,The water level was equal height everywhere,The water was flat with no waves,The water level was the equal height of the bay,The water level was as high as the cliffs,NULL
worksheet,dreams of a giant life,4,Which word would best replace ìplacidî (line 7)?,Calm,Sleeping,Exciting,Active,NULL
worksheet,dreams of a giant life,5,"ìWhite cliffs surrounded itóand calm and fair/ It lay asleep, in warm and silent air.î What poetic technique has the poet used?",Simile,Metaphor,Alliteration,Personification,NULL
worksheet,dreams of a giant life,6,What is making the giant gleam?,The light of the sun,The lighthouse,Lights coming through golden glass,The golden light,NULL
worksheet,dreams of a giant life,7,"ìI saw below me all the water lie /Expecting something, and that thing was Iî What does this mean?",He is looking for two fingers,He is holding two fingers up,He is missing two fingers,He has only two fingers,NULL
worksheet,dreams of a giant life,8,Why does the poet separate ìI stood aloneî (line 11)?,The meaning of the phrase matches how its written,To draw attention to something important,To make the reader feel alone,To help the reader put themselves in the giantís shoes,NULL
worksheet,dreams of a giant life,9,What time of the day is it in the poem?,It is sunrise,It is afternoon,It is sunset,It is not stated,NULL
worksheet,dreams of a giant life,10,"ìPure, perfect and profoundî (line 22) What writing technique is this?",Repetition,Alliteration,Onomatopoeia,Exaggeration,NULL
worksheet,dreams of a giant life,11,What word below would best replace wayfaring (line 28)?,Departing,Floating,Travelling,Returning,NULL
worksheet,dreams of a giant life,12,What does perforate (line 34) mean?,Waterproof,Wooden,Able to float,Filled with holes,NULL
worksheet,dreams of a giant life,13,ìAnd it dared the storms of fateî (line 35) What does that mean?,To attempt to sail dangerous seas,To dare the seas to do something unfavourable,The boats played truth or dare with the sea,The boats were uncertain to cross the sea,NULL
worksheet,dreams of a giant life,14,ìStorms of fateî What poetic technique is this?,Simile,Personification,Metaphor,Onomatopoeia,NULL
worksheet,dreams of a giant life,15,Why did the two boats sink?,The giantís force was too strong,The boats collided with one another,The boats evaded one another,The boats were not built properly,NULL
worksheet,dreams of a giant life,16,Who was the voice of?,Waterproof,Wooden,Able to float,Filled with holes,NULL
worksheet,dreams of a giant life,17,Which of these statements are true?,The boy captured a bar of soap in the cave,When the boy enters the magic water he turns into a giant,The boy spent more than 20 minutes in the water,"After the bath, the boy will eat dinner",NULL
worksheet,dreams of a giant life,18,Which summary best describes the poem?,"When we are little, we have wild and creative imaginations","Using our imagination, anywhere can become awesome",We can be anything we think ourselves to be,We should always find ways to have fun,NULL
worksheet,economics,1,"What definition, based on the text, best defines what an Economy is?",The economy is a big game with three main players,The economy is a game where players try to earn the most money,The economy is the many interactions between different groups,The economy is created by the politicians,NULL
worksheet,economics,2,What word is most similar to ëprocureí as it has been used in the text?,Cure,Save,Exchange,Obtain,NULL
worksheet,economics,3,Why do politicians disagree over how to spend the money? Read the statements below and choose the options which best fit the answer.,"1, 2 and 3",Just 2,Just 3,2 and 3,"2, 3 and 4"
worksheet,economics,4,"An 'economist' is a job. Based on what you have read, which one of these best describes what they do?",Study how to make their country richer and others poorer,Debate with politicians how to spend the money,Study how the players in an economy can earn more money and spend less,All of the above,NULL
worksheet,economics,5,Who or what announces the amounts spent on NHS?,The Chancellor,Fiscal Policy,Politicians,The Budget,Government
worksheet,economics,6,Why does the government need to collect tax?,The government does not earn any money,The government works for free so they need to collect money,The government needs money to pay for things everybody uses,The government cannot operate without tax money,NULL
worksheet,economics,7,"Which of these statements is true, based on the text?",How much tax you must pay is Fiscal Policy,The Budget contains information on how much you are paid by a job,Fiscal Policy decides how much you pay toward your bills,Paying money to people who are unable to work is Fiscal Policy,NULL
worksheet,economics,8,How often is the Budget announced?,Once a month,Every three months,Once a year,Twice a year,NULL
worksheet,economics,9,Why do you think the government pays for public services? ,NULL,NULL,NULL,NULL,NULL
worksheet,economics,10,What thing is responsible for influencing how much money is spent or saved?,The amount of money they are taxed,Whether there are a lot of things to buy ie Christmas,How much people earn from their work,The rate of interest the bank gives you for keeping money there,NULL
worksheet,economics,11,"If the Government spent more money on technology like faster internet, faster trains, and virtual assistants, what is one benefit that could happen?",People would be able to stream videos faster,People could play games online without lag,People could earn more money since they could do more work,Virtual assistants could take the jobs of people and people would work less,NULL
worksheet,economics,12,"If the banks wanted more people to save their money and spend less money, what could they do?",NULL,NULL,NULL,NULL,NULL
worksheet,economics,13,"A lot of people complain about the tax they pay, why do you think this is?",NULL,NULL,NULL,NULL,NULL
